Pollutant,Feature,Score,Pvalue
PM25_Tyre,AADT DLgv,44730.39588858886,0.0
PM25_Tyre,AADT Rigid2Axle,43381.929381283895,0.0
PM25_Tyre,AADT Rigid3Axle,30302.210534771802,0.0
PM25_Tyre,Length (m)_x,27354.984411691832,0.0
PM25_Tyre,AADT PLgv,24193.121503926428,0.0
PM25_Tyre,AADT Artic6Axle,20291.496453043907,0.0
PM25_Tyre,AADT Artic5Axle,2734.7982145928704,0.0
PM25_Tyre,AADT Pcar,1181.1029512249286,1.0559383455650056e-256
PM25_Tyre,AADT Dcar,489.9179077726642,3.480721716445588e-108
PM25_Tyre,AADT Artic3Axle,213.02996738096178,3.526501301225809e-48
PM25_Resusp,AADT Rigid2Axle,36907.81055888567,0.0
PM25_Resusp,AADT DLgv,33989.14652901631,0.0
PM25_Resusp,AADT Rigid3Axle,24060.85231687838,0.0
PM25_Resusp,AADT Artic6Axle,18541.778199961012,0.0
PM25_Resusp,Length (m)_x,17508.076847041673,0.0
PM25_Resusp,AADT PLgv,16046.454548760841,0.0
PM25_Resusp,AADT Artic5Axle,2297.4932265679067,0.0
PM25_Resusp,AADT Pcar,843.1614225062681,2.746024706505372e-184
PM25_Resusp,AADT Dcar,362.6369905521536,1.198514413961006e-80
PM25_Resusp,AADT Artic3Axle,35.86461673918812,2.1253685942018337e-09
PM25_Exhaust,AADT Rigid2Axle,43043.95362958769,0.0
PM25_Exhaust,AADT DLgv,41605.56545776436,0.0
PM25_Exhaust,AADT Rigid3Axle,29398.472812733846,0.0
PM25_Exhaust,Length (m)_x,21960.826750954293,0.0
PM25_Exhaust,AADT PLgv,21293.37094202227,0.0
PM25_Exhaust,AADT Artic6Axle,19476.13679680666,0.0
PM25_Exhaust,AADT Artic5Axle,2780.8012875752993,0.0
PM25_Exhaust,AADT Pcar,1257.4778539588929,5.105697896084948e-273
PM25_Exhaust,AADT Dcar,597.5052107746775,2.069285930605026e-131
PM25_Exhaust,AADT Artic3Axle,112.02250933342329,3.696521863192289e-26
PM25_Brake,Length (m)_x,39563.24242949934,0.0
PM25_Brake,AADT DLgv,31220.19802930797,0.0
PM25_Brake,AADT Rigid2Axle,29622.614375626104,0.0
PM25_Brake,AADT Rigid3Axle,26880.292563898027,0.0
PM25_Brake,AADT PLgv,25650.05050439342,0.0
PM25_Brake,AADT Artic6Axle,20555.3213518843,0.0
PM25_Brake,AADT Artic5Axle,3655.427613131223,0.0
PM25_Brake,AADT Pcar,2914.575934461469,0.0
PM25_Brake,AADT Dcar,1613.656445389349,0.0
PM25_Brake,AADT Artic3Axle,3.5357668733612653,0.06006268045986792
PM10_Tyre,AADT DLgv,44137.25820898399,0.0
PM10_Tyre,AADT Rigid2Axle,42698.51136379059,0.0
PM10_Tyre,AADT Rigid3Axle,30348.281981145126,0.0
PM10_Tyre,Length (m)_x,27264.180259448123,0.0
PM10_Tyre,AADT PLgv,24527.983872955032,0.0
PM10_Tyre,AADT Artic6Axle,20362.10792590025,0.0
PM10_Tyre,AADT Artic5Axle,2761.8427120687165,0.0
PM10_Tyre,AADT Pcar,1162.8543844906014,8.407983402639132e-253
PM10_Tyre,AADT Dcar,478.53576055379347,1.0033082120536442e-105
PM10_Tyre,AADT Artic3Axle,224.20872971314435,1.307524825797232e-50
PM10_Resusp,AADT Rigid2Axle,36921.14041658401,0.0
PM10_Resusp,AADT DLgv,34182.723940202915,0.0
PM10_Resusp,AADT Rigid3Axle,24070.9896754166,0.0
PM10_Resusp,AADT Artic6Axle,18755.936341716075,0.0
PM10_Resusp,Length (m)_x,17394.967006344326,0.0
PM10_Resusp,AADT PLgv,16106.274718291455,0.0
PM10_Resusp,AADT Artic5Axle,2360.5218555592533,0.0
PM10_Resusp,AADT Pcar,860.9758350795003,4.093947432063161e-188
PM10_Resusp,AADT Dcar,394.84024282225107,1.2733223918480454e-87
PM10_Resusp,AADT Artic3Axle,30.76573481406677,2.9217653667944158e-08
PM10_Exhaust,AADT Rigid2Axle,42163.078322254085,0.0
PM10_Exhaust,AADT DLgv,40932.04712885946,0.0
PM10_Exhaust,AADT Rigid3Axle,28910.707151723433,0.0
PM10_Exhaust,Length (m)_x,21620.943593596217,0.0
PM10_Exhaust,AADT PLgv,21108.32428100092,0.0
PM10_Exhaust,AADT Artic6Axle,19334.615578500583,0.0
PM10_Exhaust,AADT Artic5Axle,2763.8219202103915,0.0
PM10_Exhaust,AADT Pcar,1265.123428559489,1.190617668901583e-274
PM10_Exhaust,AADT Dcar,628.2292701958095,4.909081815610148e-138
PM10_Exhaust,AADT Artic3Axle,105.68849112772484,8.984237008445372e-25
PM10_Brake,Length (m)_x,38683.2432146443,0.0
PM10_Brake,AADT DLgv,30801.887803789727,0.0
PM10_Brake,AADT Rigid2Axle,29519.65403221131,0.0
PM10_Brake,AADT Rigid3Axle,27152.067570247164,0.0
PM10_Brake,AADT PLgv,25840.02640642982,0.0
PM10_Brake,AADT Artic6Axle,20742.480764929813,0.0
PM10_Brake,AADT Artic5Axle,3599.9202903149685,0.0
PM10_Brake,AADT Pcar,2962.7360692582956,0.0
PM10_Brake,AADT Dcar,1620.511587746007,0.0
PM10_Brake,AADT Artic3Axle,3.2804639882439957,0.07011336638544322
NOx,AADT Rigid2Axle,44386.849430008064,0.0
NOx,AADT DLgv,41900.15594616222,0.0
NOx,AADT Rigid3Axle,31181.185419332247,0.0
NOx,Length (m)_x,25199.00406728696,0.0
NOx,AADT Artic6Axle,22482.45776086851,0.0
NOx,AADT PLgv,22384.543240906278,0.0
NOx,AADT Artic5Axle,3448.082301181072,0.0
NOx,AADT Pcar,1933.640411861189,0.0
NOx,AADT Dcar,953.1646645612719,6.706565319175453e-208
NOx,AADT Artic3Axle,25.324472931056917,4.857127545287284e-07
CO2,AADT Rigid2Axle,42142.24283493276,0.0
CO2,AADT DLgv,41915.93607963614,0.0
CO2,AADT Rigid3Axle,29262.938191929497,0.0
CO2,Length (m)_x,23902.929633754928,0.0
CO2,AADT PLgv,22267.173089016138,0.0
CO2,AADT Artic6Axle,20252.94443209883,0.0
CO2,AADT Artic5Axle,2794.4960280143246,0.0
CO2,AADT Pcar,1336.9976842095416,5.494646680566392e-290
CO2,AADT Dcar,582.8689772096944,2.971227847243228e-128
CO2,AADT Artic3Axle,46.29843847699099,1.0235382383240951e-11
